name,year,population,enslaved_pop,free_pop,apportioned_pop
Wisconsin,1910,2333860,NA,NA,2333860
Wyoming,1910,145965,NA,NA,145965
United States,1910,91972266,NA,NA,91972266
Alabama,1920,2348174,NA,NA,2348174
Alaska,1920,55036,NA,NA,55036
Arizona,1920,334162,NA,NA,334162
Arkansas,1920,1752204,NA,NA,1752204
California,1920,3426861,NA,NA,3426861
Colorado,1920,939629,NA,NA,939629
Connecticut,1920,1380631,NA,NA,1380631
Delaware,1920,223003,NA,NA,223003
District of Columbia,1920,437571,NA,NA,437571
Florida,1920,968470,NA,NA,968470
Georgia,1920,2895832,NA,NA,2895832
Hawaii,1920,255912,NA,NA,255912
Idaho,1920,431866,NA,NA,431866
Illinois,1920,6485280,NA,NA,6485280
Indiana,1920,2930390,NA,NA,2930390
Iowa,1920,2404021,NA,NA,2404021
Kansas,1920,1769257,NA,NA,1769257
Kentucky,1920,2416630,NA,NA,2416630
Louisiana,1920,1798509,NA,NA,1798509
Maine,1920,768014,NA,NA,768014
Maryland,1920,1449661,NA,NA,1449661
Massachusetts,1920,3852356,NA,NA,3852356
Michigan,1920,3668412,NA,NA,3668412
Minnesota,1920,2387125,NA,NA,2387125
Mississippi,1920,1790618,NA,NA,1790618
Missouri,1920,3404055,NA,NA,3404055
Montana,1920,548889,NA,NA,548889
Nebraska,1920,1296372,NA,NA,1296372
Nevada,1920,77407,NA,NA,77407
New Hampshire,1920,443083,NA,NA,443083
New Jersey,1920,3155900,NA,NA,3155900
New Mexico,1920,360350,NA,NA,360350
New York,1920,10385227,NA,NA,10385227
North Carolina,1920,2559123,NA,NA,2559123
North Dakota,1920,646872,NA,NA,646872
Ohio,1920,5759394,NA,NA,5759394
Oklahoma,1920,2028283,NA,NA,2028283
Oregon,1920,783389,NA,NA,783389
Pennsylvania,1920,8720017,NA,NA,8720017
Rhode Island,1920,604397,NA,NA,604397
South Carolina,1920,1683724,NA,NA,1683724
South Dakota,1920,636547,NA,NA,636547
Tennessee,1920,2337885,NA,NA,2337885
Texas,1920,4663228,NA,NA,4663228
Utah,1920,449396,NA,NA,449396
Vermont,1920,352428,NA,NA,352428
Virginia,1920,2309187,NA,NA,2309187
Washington,1920,1356621,NA,NA,1356621
West Virginia,1920,1463701,NA,NA,1463701
Wisconsin,1920,2632067,NA,NA,2632067
Wyoming,1920,194402,NA,NA,194402
United States,1920,105710620,NA,NA,105710620
Alabama,1930,2646248,NA,NA,2646248
Alaska,1930,59278,NA,NA,59278
Arizona,1930,435573,NA,NA,435573
Arkansas,1930,1854482,NA,NA,1854482
California,1930,5677251,NA,NA,5677251
Colorado,1930,1035791,NA,NA,1035791
Connecticut,1930,1606903,NA,NA,1606903
Delaware,1930,238380,NA,NA,238380
District of Columbia,1930,486869,NA,NA,486869
Florida,1930,1468211,NA,NA,1468211
Georgia,1930,2908506,NA,NA,2908506
Hawaii,1930,368336,NA,NA,368336
Idaho,1930,445032,NA,NA,445032
Illinois,1930,7630654,NA,NA,7630654
Indiana,1930,3238503,NA,NA,3238503
Iowa,1930,2470939,NA,NA,2470939
Kansas,1930,1880999,NA,NA,1880999
Kentucky,1930,2614589,NA,NA,2614589
Louisiana,1930,2101593,NA,NA,2101593
Maine,1930,797423,NA,NA,797423
Maryland,1930,1631526,NA,NA,1631526
Massachusetts,1930,4249614,NA,NA,4249614
Michigan,1930,4842325,NA,NA,4842325
Minnesota,1930,2563953,NA,NA,2563953
Mississippi,1930,2009821,NA,NA,2009821
Missouri,1930,3629367,NA,NA,3629367
Montana,1930,537606,NA,NA,537606
Nebraska,1930,1377963,NA,NA,1377963
Nevada,1930,91058,NA,NA,91058
New Hampshire,1930,465293,NA,NA,465293
New Jersey,1930,4041334,NA,NA,4041334
New Mexico,1930,423317,NA,NA,423317
New York,1930,12588066,NA,NA,12588066
North Carolina,1930,3170276,NA,NA,3170276
North Dakota,1930,680845,NA,NA,680845
Ohio,1930,6646697,NA,NA,6646697
Oklahoma,1930,2396040,NA,NA,2396040
Oregon,1930,953786,NA,NA,953786
Pennsylvania,1930,9631350,NA,NA,9631350
Rhode Island,1930,687497,NA,NA,687497
South Carolina,1930,1738765,NA,NA,1738765
South Dakota,1930,692849,NA,NA,692849
Tennessee,1930,2616556,NA,NA,2616556
Texas,1930,5824715,NA,NA,5824715
Utah,1930,507847,NA,NA,507847
Vermont,1930,359611,NA,NA,359611
Virginia,1930,2421851,NA,NA,2421851
Washington,1930,1563396,NA,NA,1563396
West Virginia,1930,1729205,NA,NA,1729205
Wisconsin,1930,2939006,NA,NA,2939006
Wyoming,1930,225565,NA,NA,225565
United States,1930,122775046,NA,NA,122775046
Alabama,1940,2832961,NA,NA,2832961
Alaska,1940,72524,NA,NA,72524
Arizona,1940,499261,NA,NA,499261
Arkansas,1940,1949387,NA,NA,1949387
California,1940,6907387,NA,NA,6907387
Colorado,1940,1123296,NA,NA,1123296
Connecticut,1940,1709242,NA,NA,1709242
Delaware,1940,266505,NA,NA,266505
District of Columbia,1940,663091,NA,NA,663091
Florida,1940,1897414,NA,NA,1897414
Georgia,1940,3123723,NA,NA,3123723
Hawaii,1940,423330,NA,NA,423330
Idaho,1940,524873,NA,NA,524873
Illinois,1940,7897241,NA,NA,7897241
Indiana,1940,3427796,NA,NA,3427796
Iowa,1940,2538268,NA,NA,2538268
Kansas,1940,1801028,NA,NA,1801028
Kentucky,1940,2845627,NA,NA,2845627
Louisiana,1940,2363880,NA,NA,2363880
Maine,1940,847226,NA,NA,847226
Maryland,1940,1821244,NA,NA,1821244
Massachusetts,1940,4316721,NA,NA,4316721
Michigan,1940,5256106,NA,NA,5256106
Minnesota,1940,2792300,NA,NA,2792300
Mississippi,1940,2183796,NA,NA,2183796
Missouri,1940,3784664,NA,NA,3784664
Montana,1940,559456,NA,NA,559456
Nebraska,1940,1315834,NA,NA,1315834
Nevada,1940,110247,NA,NA,110247
New Hampshire,1940,491524,NA,NA,491524
New Jersey,1940,4160165,NA,NA,4160165
New Mexico,1940,531818,NA,NA,531818
New York,1940,13479142,NA,NA,13479142
North Carolina,1940,3571623,NA,NA,3571623
North Dakota,1940,641935,NA,NA,641935
Ohio,1940,6907612,NA,NA,6907612
Oklahoma,1940,2336434,NA,NA,2336434
Oregon,1940,1089684,NA,NA,1089684
Pennsylvania,1940,9900180,NA,NA,9900180
Rhode Island,1940,713346,NA,NA,713346
South Carolina,1940,1899804,NA,NA,1899804
South Dakota,1940,642961,NA,NA,642961
Tennessee,1940,2915841,NA,NA,2915841
Texas,1940,6414824,NA,NA,6414824
Utah,1940,550310,NA,NA,550310
Vermont,1940,359231,NA,NA,359231
Virginia,1940,2677773,NA,NA,2677773
Washington,1940,1736191,NA,NA,1736191
West Virginia,1940,1901974,NA,NA,1901974
Wisconsin,1940,3137587,NA,NA,3137587
Wyoming,1940,250742,NA,NA,250742
United States,1940,131669275,NA,NA,131669275
Alabama,1950,3061743,NA,NA,3061743
Alaska,1950,128643,NA,NA,128643
Arizona,1950,749587,NA,NA,749587
Arkansas,1950,1909511,NA,NA,1909511
California,1950,10586223,NA,NA,10586223
Colorado,1950,1325089,NA,NA,1325089
Connecticut,1950,2007280,NA,NA,2007280
Delaware,1950,318085,NA,NA,318085
District of Columbia,1950,802178,NA,NA,802178
Florida,1950,2771305,NA,NA,2771305
Georgia,1950,3444578,NA,NA,3444578
Hawaii,1950,499794,NA,NA,499794
Idaho,1950,588637,NA,NA,588637
Illinois,1950,8712176,NA,NA,8712176
Indiana,1950,3934224,NA,NA,3934224
Iowa,1950,2621073,NA,NA,2621073
Kansas,1950,1905299,NA,NA,1905299
Kentucky,1950,2944806,NA,NA,2944806
Louisiana,1950,2683516,NA,NA,2683516
Maine,1950,913774,NA,NA,913774
Maryland,1950,2343001,NA,NA,2343001
Massachusetts,1950,4690514,NA,NA,4690514
Michigan,1950,6371766,NA,NA,6371766
Minnesota,1950,2982483,NA,NA,2982483
Mississippi,1950,2178914,NA,NA,2178914
Missouri,1950,3954653,NA,NA,3954653
Montana,1950,591024,NA,NA,591024
Nebraska,1950,1325510,NA,NA,1325510
Nevada,1950,160083,NA,NA,160083
New Hampshire,1950,533242,NA,NA,533242
New Jersey,1950,4835329,NA,NA,4835329
New Mexico,1950,681187,NA,NA,681187
New York,1950,14830192,NA,NA,14830192
North Carolina,1950,4061929,NA,NA,4061929
North Dakota,1950,619636,NA,NA,619636
Ohio,1950,7946627,NA,NA,7946627
Oklahoma,1950,2233351,NA,NA,2233351
Oregon,1950,1521341,NA,NA,1521341
Pennsylvania,1950,10498012,NA,NA,10498012
Rhode Island,1950,791896,NA,NA,791896
South Carolina,1950,2117027,NA,NA,2117027
South Dakota,1950,652740,NA,NA,652740
Tennessee,1950,3291718,NA,NA,3291718
Texas,1950,7711194,NA,NA,7711194
Utah,1950,688862,NA,NA,688862
Vermont,1950,377747,NA,NA,377747
Virginia,1950,3318680,NA,NA,3318680
Washington,1950,2378963,NA,NA,2378963
West Virginia,1950,2005552,NA,NA,2005552
Wisconsin,1950,3434575,NA,NA,3434575
Wyoming,1950,290529,NA,NA,290529
United States,1950,150697361,NA,NA,150697361
Alabama,1960,3266740,NA,NA,3266740
Alaska,1960,226167,NA,NA,226167
Arizona,1960,1302161,NA,NA,1302161
Arkansas,1960,1786272,NA,NA,1786272
California,1960,15717204,NA,NA,15717204
Colorado,1960,1753947,NA,NA,1753947
Connecticut,1960,2535234,NA,NA,2535234
Delaware,1960,446292,NA,NA,446292
District of Columbia,1960,763956,NA,NA,763956
Florida,1960,4951560,NA,NA,4951560
Georgia,1960,3943116,NA,NA,3943116
Hawaii,1960,632772,NA,NA,632772
Idaho,1960,667191,NA,NA,667191
Illinois,1960,10081158,NA,NA,10081158
Indiana,1960,4662498,NA,NA,4662498
Iowa,1960,2757537,NA,NA,2757537
Kansas,1960,2178611,NA,NA,2178611
Kentucky,1960,3038156,NA,NA,3038156
Louisiana,1960,3257022,NA,NA,3257022
Maine,1960,969265,NA,NA,969265
Maryland,1960,3100689,NA,NA,3100689
Massachusetts,1960,5148578,NA,NA,5148578
Michigan,1960,7823194,NA,NA,7823194
Minnesota,1960,3413864,NA,NA,3413864
Mississippi,1960,2178141,NA,NA,2178141
Missouri,1960,4319813,NA,NA,4319813
Montana,1960,674767,NA,NA,674767
Nebraska,1960,1411330,NA,NA,1411330
Nevada,1960,285278,NA,NA,285278
New Hampshire,1960,606921,NA,NA,606921
New Jersey,1960,6066782,NA,NA,6066782
New Mexico,1960,951023,NA,NA,951023
New York,1960,16782304,NA,NA,16782304
North Carolina,1960,4556155,NA,NA,4556155
North Dakota,1960,632446,NA,NA,632446
Ohio,1960,9706397,NA,NA,9706397
Oklahoma,1960,2328284,NA,NA,2328284
Oregon,1960,1768687,NA,NA,1768687
Pennsylvania,1960,11319366,NA,NA,11319366
Rhode Island,1960,859488,NA,NA,859488
South Carolina,1960,2382594,NA,NA,2382594
South Dakota,1960,680514,NA,NA,680514
Tennessee,1960,3567089,NA,NA,3567089
Texas,1960,9579677,NA,NA,9579677
Utah,1960,890627,NA,NA,890627
Vermont,1960,389881,NA,NA,389881
Virginia,1960,3966949,NA,NA,3966949
Washington,1960,2853214,NA,NA,2853214
West Virginia,1960,1860421,NA,NA,1860421
Wisconsin,1960,3951777,NA,NA,3951777
Wyoming,1960,330066,NA,NA,330066
United States,1960,179323175,NA,NA,179323175
Alabama,1970,3444165,NA,NA,3444165
Alaska,1970,300382,NA,NA,300382
Arizona,1970,1770900,NA,NA,1770900
Arkansas,1970,1923295,NA,NA,1923295
California,1970,19953134,NA,NA,19953134
Colorado,1970,2207259,NA,NA,2207259
Connecticut,1970,3031709,NA,NA,3031709
Delaware,1970,548104,NA,NA,548104
District of Columbia,1970,756510,NA,NA,756510
Florida,1970,6789443,NA,NA,6789443
Georgia,1970,4589575,NA,NA,4589575
Hawaii,1970,768561,NA,NA,768561
Idaho,1970,712567,NA,NA,712567
Illinois,1970,11113976,NA,NA,11113976
Indiana,1970,5193669,NA,NA,5193669
Iowa,1970,2824376,NA,NA,2824376
Kansas,1970,2246578,NA,NA,2246578
Kentucky,1970,3218706,NA,NA,3218706
Louisiana,1970,3641306,NA,NA,3641306
Maine,1970,992048,NA,NA,992048
Maryland,1970,3922399,NA,NA,3922399
Massachusetts,1970,5689170,NA,NA,5689170
Michigan,1970,8875083,NA,NA,8875083
Minnesota,1970,3804971,NA,NA,3804971
Mississippi,1970,2216912,NA,NA,2216912
Missouri,1970,4676501,NA,NA,4676501
Montana,1970,694409,NA,NA,694409
Nebraska,1970,1483493,NA,NA,1483493
Nevada,1970,488738,NA,NA,488738
New Hampshire,1970,737681,NA,NA,737681
New Jersey,1970,7168164,NA,NA,7168164
New Mexico,1970,1016000,NA,NA,1016000
New York,1970,18236967,NA,NA,18236967
North Carolina,1970,5082059,NA,NA,5082059
North Dakota,1970,617761,NA,NA,617761
Ohio,1970,10652017,NA,NA,10652017
Oklahoma,1970,2559229,NA,NA,2559229
Oregon,1970,2091385,NA,NA,2091385
Pennsylvania,1970,11793909,NA,NA,11793909
Rhode Island,1970,946725,NA,NA,946725
South Carolina,1970,2590516,NA,NA,2590516
South Dakota,1970,665507,NA,NA,665507
Tennessee,1970,3923687,NA,NA,3923687
Texas,1970,11196730,NA,NA,11196730
Utah,1970,1059273,NA,NA,1059273
Vermont,1970,444330,NA,NA,444330
Virginia,1970,4648494,NA,NA,4648494
Washington,1970,3409169,NA,NA,3409169
West Virginia,1970,1744237,NA,NA,1744237
Wisconsin,1970,4417731,NA,NA,4417731
Wyoming,1970,332416,NA,NA,332416
United States,1970,203211926,NA,NA,203211926
Alabama,1980,3893888,NA,NA,3893888
Alaska,1980,401851,NA,NA,401851
Arizona,1980,2718215,NA,NA,2718215
Arkansas,1980,2286435,NA,NA,2286435
California,1980,23667902,NA,NA,23667902
Colorado,1980,2889964,NA,NA,2889964
Connecticut,1980,3107576,NA,NA,3107576
Delaware,1980,594338,NA,NA,594338
District of Columbia,1980,638333,NA,NA,638333
Florida,1980,9746324,NA,NA,9746324
Georgia,1980,5463105,NA,NA,5463105
Hawaii,1980,964691,NA,NA,964691
Idaho,1980,943935,NA,NA,943935
Illinois,1980,11426518,NA,NA,11426518
Indiana,1980,5490224,NA,NA,5490224
Iowa,1980,2913808,NA,NA,2913808
Kansas,1980,2363679,NA,NA,2363679
Kentucky,1980,3660777,NA,NA,3660777
Louisiana,1980,4205900,NA,NA,4205900
Maine,1980,1124660,NA,NA,1124660
Maryland,1980,4216975,NA,NA,4216975
Massachusetts,1980,5737037,NA,NA,5737037
Michigan,1980,9262078,NA,NA,9262078
Minnesota,1980,4075970,NA,NA,4075970
Mississippi,1980,2520638,NA,NA,2520638
Missouri,1980,4916686,NA,NA,4916686
Montana,1980,786690,NA,NA,786690
Nebraska,1980,1569825,NA,NA,1569825
Nevada,1980,800493,NA,NA,800493
New Hampshire,1980,920610,NA,NA,920610
New Jersey,1980,7364823,NA,NA,7364823
New Mexico,1980,1302894,NA,NA,1302894
New York,1980,17558072,NA,NA,17558072
North Carolina,1980,5881766,NA,NA,5881766
North Dakota,1980,652717,NA,NA,652717
Ohio,1980,10797630,NA,NA,10797630
Oklahoma,1980,3025290,NA,NA,3025290
Oregon,1980,2633105,NA,NA,2633105
Pennsylvania,1980,11863895,NA,NA,11863895
Rhode Island,1980,947154,NA,NA,947154
South Carolina,1980,3121820,NA,NA,3121820
South Dakota,1980,690768,NA,NA,690768
Tennessee,1980,4591120,NA,NA,4591120
Texas,1980,14229191,NA,NA,14229191
Utah,1980,1461037,NA,NA,1461037
Vermont,1980,511456,NA,NA,511456
Virginia,1980,5346818,NA,NA,5346818
Washington,1980,4132156,NA,NA,4132156
West Virginia,1980,1949644,NA,NA,1949644
Wisconsin,1980,4705767,NA,NA,4705767
Wyoming,1980,469557,NA,NA,469557
United States,1980,226545805,NA,NA,226545805
Alabama,1990,4040587,NA,NA,4040587
Alaska,1990,550043,NA,NA,550043
Arizona,1990,3665228,NA,NA,3665228
Arkansas,1990,2350725,NA,NA,2350725
California,1990,29760021,NA,NA,29760021
Colorado,1990,3294394,NA,NA,3294394
Connecticut,1990,3287116,NA,NA,3287116
Delaware,1990,666168,NA,NA,666168
District of Columbia,1990,606900,NA,NA,606900
Florida,1990,12937926,NA,NA,12937926
Georgia,1990,6478216,NA,NA,6478216
Hawaii,1990,1108229,NA,NA,1108229
Idaho,1990,1006749,NA,NA,1006749
Illinois,1990,11430602,NA,NA,11430602
Indiana,1990,5544159,NA,NA,5544159
Iowa,1990,2776755,NA,NA,2776755
Kansas,1990,2477574,NA,NA,2477574
Kentucky,1990,3685296,NA,NA,3685296
Louisiana,1990,4219973,NA,NA,4219973
Maine,1990,1227928,NA,NA,1227928
Maryland,1990,4781468,NA,NA,4781468
Massachusetts,1990,6016425,NA,NA,6016425
Michigan,1990,9295297,NA,NA,9295297
Minnesota,1990,4375099,NA,NA,4375099
Mississippi,1990,2573216,NA,NA,2573216
Missouri,1990,5117073,NA,NA,5117073
Montana,1990,799065,NA,NA,799065
Nebraska,1990,1578385,NA,NA,1578385
Nevada,1990,1201833,NA,NA,1201833
New Hampshire,1990,1109252,NA,NA,1109252
New Jersey,1990,7730188,NA,NA,7730188
New Mexico,1990,1515069,NA,NA,1515069
New York,1990,17990455,NA,NA,17990455
North Carolina,1990,6628637,NA,NA,6628637
North Dakota,1990,638800,NA,NA,638800
Ohio,1990,10847115,NA,NA,10847115
Oklahoma,1990,3145585,NA,NA,3145585
Oregon,1990,2842321,NA,NA,2842321
Pennsylvania,1990,11881643,NA,NA,11881643
Rhode Island,1990,1003464,NA,NA,1003464
South Carolina,1990,3486703,NA,NA,3486703
South Dakota,1990,696004,NA,NA,696004
Tennessee,1990,4877185,NA,NA,4877185
Texas,1990,16986510,NA,NA,16986510
Utah,1990,1722850,NA,NA,1722850
Vermont,1990,562758,NA,NA,562758
Virginia,1990,6187358,NA,NA,6187358
Washington,1990,4866692,NA,NA,4866692
West Virginia,1990,1793477,NA,NA,1793477
Wisconsin,1990,4891769,NA,NA,4891769
Wyoming,1990,453588,NA,NA,453588
United States,1990,248709873,NA,NA,248709873
Alabama,2000,4447100,NA,NA,4447100
Alaska,2000,626932,NA,NA,626932
Arizona,2000,5130632,NA,NA,5130632
Arkansas,2000,2673400,NA,NA,2673400
California,2000,33871648,NA,NA,33871648
Colorado,2000,4301261,NA,NA,4301261
Connecticut,2000,3405565,NA,NA,3405565
Delaware,2000,783600,NA,NA,783600
District of Columbia,2000,572059,NA,NA,572059
Florida,2000,15982378,NA,NA,15982378
Georgia,2000,8186453,NA,NA,8186453
Hawaii,2000,1211537,NA,NA,1211537
Idaho,2000,1293953,NA,NA,1293953
Illinois,2000,12419293,NA,NA,12419293
Indiana,2000,6080485,NA,NA,6080485
Iowa,2000,2926324,NA,NA,2926324
Kansas,2000,2688418,NA,NA,2688418
Kentucky,2000,4041769,NA,NA,4041769
Louisiana,2000,4468976,NA,NA,4468976
Maine,2000,1274923,NA,NA,1274923
Maryland,2000,5296486,NA,NA,5296486
Massachusetts,2000,6349097,NA,NA,6349097
Michigan,2000,9938444,NA,NA,9938444
Minnesota,2000,4919479,NA,NA,4919479
Mississippi,2000,2844658,NA,NA,2844658
Missouri,2000,5595211,NA,NA,5595211
Montana,2000,902195,NA,NA,902195
Nebraska,2000,1711263,NA,NA,1711263
Nevada,2000,1998257,NA,NA,1998257
New Hampshire,2000,1235786,NA,NA,1235786
New Jersey,2000,8414350,NA,NA,8414350
New Mexico,2000,1819046,NA,NA,1819046
New York,2000,18976457,NA,NA,18976457
North Carolina,2000,8049313,NA,NA,8049313
North Dakota,2000,642200,NA,NA,642200
Ohio,2000,11353140,NA,NA,11353140
Oklahoma,2000,3450654,NA,NA,3450654
Oregon,2000,3421399,NA,NA,3421399
Pennsylvania,2000,12281054,NA,NA,12281054
Rhode Island,2000,1048319,NA,NA,1048319
South Carolina,2000,4012012,NA,NA,4012012
South Dakota,2000,754844,NA,NA,754844
Tennessee,2000,5689283,NA,NA,5689283
Texas,2000,20851820,NA,NA,20851820
Utah,2000,2233169,NA,NA,2233169
Vermont,2000,608827,NA,NA,608827
Virginia,2000,7078515,NA,NA,7078515
Washington,2000,5894121,NA,NA,5894121
West Virginia,2000,1808344,NA,NA,1808344
Wisconsin,2000,5363675,NA,NA,5363675
Wyoming,2000,493782,NA,NA,493782
United States,2000,281421906,NA,NA,281421906
Alabama,2010,4779736,NA,NA,4779736
Alaska,2010,710231,NA,NA,710231
Arizona,2010,6392017,NA,NA,6392017
Arkansas,2010,2915918,NA,NA,2915918
California,2010,37253956,NA,NA,37253956
Colorado,2010,5029196,NA,NA,5029196
Connecticut,2010,3574097,NA,NA,3574097
Delaware,2010,897934,NA,NA,897934
District of Columbia,2010,601723,NA,NA,601723
Florida,2010,18801310,NA,NA,18801310
Georgia,2010,9687653,NA,NA,9687653
Hawaii,2010,1360301,NA,NA,1360301
Idaho,2010,1567582,NA,NA,1567582
Illinois,2010,12830632,NA,NA,12830632
Indiana,2010,6483802,NA,NA,6483802
Iowa,2010,3046355,NA,NA,3046355
Kansas,2010,2853118,NA,NA,2853118
Kentucky,2010,4339367,NA,NA,4339367
Louisiana,2010,4533372,NA,NA,4533372
Maine,2010,1328361,NA,NA,1328361
Maryland,2010,5773552,NA,NA,5773552
Massachusetts,2010,6547629,NA,NA,6547629
Michigan,2010,9883640,NA,NA,9883640
Minnesota,2010,5303925,NA,NA,5303925
Mississippi,2010,2967297,NA,NA,2967297
Missouri,2010,5988927,NA,NA,5988927
Montana,2010,989415,NA,NA,989415
Nebraska,2010,1826341,NA,NA,1826341
Nevada,2010,2700551,NA,NA,2700551
New Hampshire,2010,1316470,NA,NA,1316470
New Jersey,2010,8791894,NA,NA,8791894
New Mexico,2010,2059179,NA,NA,2059179
New York,2010,19378102,NA,NA,19378102
North Carolina,2010,9535483,NA,NA,9535483
North Dakota,2010,672591,NA,NA,672591
Ohio,2010,11536504,NA,NA,11536504
Oklahoma,2010,3751351,NA,NA,3751351
Oregon,2010,3831074,NA,NA,3831074
Pennsylvania,2010,12702379,NA,NA,12702379
Rhode Island,2010,1052567,NA,NA,1052567
South Carolina,2010,4625364,NA,NA,4625364
South Dakota,2010,814180,NA,NA,814180
Tennessee,2010,6346105,NA,NA,6346105
Texas,2010,25145561,NA,NA,25145561
Utah,2010,2763885,NA,NA,2763885
Vermont,2010,625741,NA,NA,625741
Virginia,2010,8001024,NA,NA,8001024
Washington,2010,6724540,NA,NA,6724540
West Virginia,2010,1852994,NA,NA,1852994
Wisconsin,2010,5686986,NA,NA,5686986
Wyoming,2010,563626,NA,NA,563626
United States,2010,308745538,NA,NA,308745538
