name,year,population
South Carolina,2010,4625364
South Dakota,2010,814180
Tennessee,2010,6346105
Texas,2010,25145561
Utah,2010,2763885
Vermont,2010,625741
Virginia,2010,8001024
Washington,2010,6724540
West Virginia,2010,1852994
Wisconsin,2010,5686986
Wyoming,2010,563626
United States,2010,308745538
